======================================================================
Logging started at 2025-11-04 11:22:50
Log file   : logs/output_q2.txt
Using device: cuda
======================================================================
Starting Deep SARSA training for LunarLander-v3 (one update per step)
Iter 10 | Eval mean = -297.25 | Max reward = -143.90 | Min reward = -510.94 | eps = 0.995
New best model saved (mean -297.25) at iter 10
Iter 20 | Eval mean = -468.52 | Max reward = -70.56 | Min reward = -715.54 | eps = 0.990
Iter 30 | Eval mean = -68.38 | Max reward = -5.35 | Min reward = -135.21 | eps = 0.985
New best model saved (mean -68.38) at iter 30
Iter 40 | Eval mean = -41.34 | Max reward = 160.63 | Min reward = -173.91 | eps = 0.980
New best model saved (mean -41.34) at iter 40
Iter 50 | Eval mean = -77.55 | Max reward = -14.59 | Min reward = -113.49 | eps = 0.975
Iter 60 | Eval mean = -406.24 | Max reward = -176.82 | Min reward = -474.69 | eps = 0.970
Iter 70 | Eval mean = -94.31 | Max reward = -33.60 | Min reward = -134.05 | eps = 0.966
Iter 80 | Eval mean = -84.90 | Max reward = -38.36 | Min reward = -107.88 | eps = 0.961
Iter 90 | Eval mean = -334.95 | Max reward = -96.11 | Min reward = -429.88 | eps = 0.956
Iter 100 | Eval mean = -198.03 | Max reward = -94.53 | Min reward = -237.47 | eps = 0.951
Iter 110 | Eval mean = -195.90 | Max reward = -122.90 | Min reward = -245.61 | eps = 0.946
Iter 120 | Eval mean = -195.19 | Max reward = -125.20 | Min reward = -227.53 | eps = 0.942
Iter 130 | Eval mean = -305.86 | Max reward = -155.79 | Min reward = -437.67 | eps = 0.937
Iter 140 | Eval mean = -306.14 | Max reward = -133.12 | Min reward = -407.44 | eps = 0.932
Iter 150 | Eval mean = -300.84 | Max reward = -148.87 | Min reward = -400.29 | eps = 0.928
Iter 160 | Eval mean = -285.61 | Max reward = -164.31 | Min reward = -370.76 | eps = 0.923
Iter 170 | Eval mean = -307.65 | Max reward = -171.93 | Min reward = -358.77 | eps = 0.918
Iter 180 | Eval mean = -340.53 | Max reward = -76.36 | Min reward = -403.31 | eps = 0.914
Iter 190 | Eval mean = -316.41 | Max reward = -210.88 | Min reward = -357.73 | eps = 0.909
Iter 200 | Eval mean = -267.02 | Max reward = -161.72 | Min reward = -335.64 | eps = 0.905
Iter 210 | Eval mean = -270.81 | Max reward = -206.59 | Min reward = -311.68 | eps = 0.900
Iter 220 | Eval mean = -244.28 | Max reward = -113.39 | Min reward = -352.15 | eps = 0.896
Iter 230 | Eval mean = -207.35 | Max reward = -58.18 | Min reward = -318.66 | eps = 0.891
Iter 240 | Eval mean = -267.34 | Max reward = -133.93 | Min reward = -365.00 | eps = 0.887
Iter 250 | Eval mean = -268.78 | Max reward = -85.86 | Min reward = -352.74 | eps = 0.882
Iter 260 | Eval mean = -178.38 | Max reward = -38.62 | Min reward = -327.77 | eps = 0.878
Iter 270 | Eval mean = -270.31 | Max reward = -156.80 | Min reward = -323.55 | eps = 0.874
Iter 280 | Eval mean = -221.61 | Max reward = -59.08 | Min reward = -323.94 | eps = 0.869
Iter 290 | Eval mean = -272.60 | Max reward = -44.23 | Min reward = -385.30 | eps = 0.865
Iter 300 | Eval mean = -248.94 | Max reward = -97.93 | Min reward = -357.18 | eps = 0.861
Iter 310 | Eval mean = -206.98 | Max reward = -36.75 | Min reward = -338.51 | eps = 0.856
Iter 320 | Eval mean = -242.71 | Max reward = -92.64 | Min reward = -356.08 | eps = 0.852
Iter 330 | Eval mean = -275.76 | Max reward = -188.53 | Min reward = -332.95 | eps = 0.848
Iter 340 | Eval mean = -197.76 | Max reward = -27.81 | Min reward = -321.60 | eps = 0.844
Iter 350 | Eval mean = -167.98 | Max reward = -21.68 | Min reward = -295.92 | eps = 0.839
Iter 360 | Eval mean = -254.24 | Max reward = -162.71 | Min reward = -326.04 | eps = 0.835
Iter 370 | Eval mean = -199.71 | Max reward = -29.00 | Min reward = -315.44 | eps = 0.831
Iter 380 | Eval mean = -250.63 | Max reward = -70.12 | Min reward = -366.53 | eps = 0.827
Iter 390 | Eval mean = -258.45 | Max reward = -41.77 | Min reward = -373.00 | eps = 0.823
Iter 400 | Eval mean = -235.04 | Max reward = -44.59 | Min reward = -343.20 | eps = 0.819
Iter 410 | Eval mean = -274.88 | Max reward = -128.11 | Min reward = -395.85 | eps = 0.815
Iter 420 | Eval mean = -235.49 | Max reward = -56.53 | Min reward = -379.57 | eps = 0.811
Iter 430 | Eval mean = -246.21 | Max reward = -150.71 | Min reward = -311.67 | eps = 0.806
