Algorithm: a2c
Environment: HalfCheetah-v4
Seed: 42

Episode Rewards:
  Episode 1: 490.1868119343417
  Episode 2: 450.6964007865172
  Episode 3: 68.73004221748852
  Episode 4: 609.0093795680441
  Episode 5: 727.3276032456197
  Episode 6: 660.7946028904989
  Episode 7: 348.8926016817568
  Episode 8: 167.3137157210149
  Episode 9: 710.0597810315667
  Episode 10: 698.2499591257292
  Episode 11: 722.701841361355
  Episode 12: 757.9177023575176
  Episode 13: 842.6493742710445
  Episode 14: 648.3247862753924
  Episode 15: 758.8667374720098
  Episode 16: 685.2160511296242
  Episode 17: 631.9566379383705
  Episode 18: 100.15977489523357
  Episode 19: 511.36470508319326
  Episode 20: 701.0086364618037
  Episode 21: 729.2663027975723
  Episode 22: 738.721943244338
  Episode 23: 791.4735354855657
  Episode 24: 882.741422410123
  Episode 25: 775.5391659316374
  Episode 26: 546.8032178540611
  Episode 27: 303.51921140705235
  Episode 28: 655.0936820019851
  Episode 29: 716.2818177976878
  Episode 30: 424.8194881188683
  Episode 31: 520.3393888929859
  Episode 32: 686.9706613263115
  Episode 33: 608.1274025798775
  Episode 34: 485.6727936316165
  Episode 35: 549.9063140808139
  Episode 36: 818.7243686942384
  Episode 37: 655.6698554857285
  Episode 38: 878.8953843493946
  Episode 39: 200.0973432912724
  Episode 40: 577.7982373432023
  Episode 41: 599.0060809564311
  Episode 42: 550.9466818704968
  Episode 43: -75.15781624685042
  Episode 44: 650.1079950036219
  Episode 45: 674.8505113050342
  Episode 46: 131.48689012228715
  Episode 47: 759.7622015537927
  Episode 48: 405.3829322429374
  Episode 49: 736.7968090774957
  Episode 50: 608.0968381341081
  Episode 51: 747.2567950861994
  Episode 52: 779.5060242637992
  Episode 53: 506.2872318425216
  Episode 54: -89.05364592214755
  Episode 55: 668.5818739039823
  Episode 56: 683.0813981010579
  Episode 57: 737.4968483475968
  Episode 58: 124.5546189614106
  Episode 59: 492.9891107501462
  Episode 60: 733.2191840038868
  Episode 61: 727.4392305376241
  Episode 62: 952.6348868608475
  Episode 63: 503.92700878548203
  Episode 64: 406.5889682536945
  Episode 65: 560.3765687171835
  Episode 66: 769.6354606000241
  Episode 67: 628.8418218729785
  Episode 68: 523.5276184314862
  Episode 69: 604.9417509522755
  Episode 70: 708.3259873478673
  Episode 71: 62.12223516119411
  Episode 72: 560.8659192369087
  Episode 73: 496.68578585609794
  Episode 74: 648.3431600509793
  Episode 75: 462.1589947286993
  Episode 76: 708.6800262729812
  Episode 77: 694.5271644718014
  Episode 78: 665.2805434742477
  Episode 79: 654.0825126781419
  Episode 80: 344.65016469580587
  Episode 81: 37.247556497110054
  Episode 82: 600.6487915189937
  Episode 83: 433.8736772031989
  Episode 84: 379.1816193619743
  Episode 85: 471.5492931813933
  Episode 86: 614.9527079859981
  Episode 87: 599.5484989818651
  Episode 88: 574.3793680432718
  Episode 89: 413.74214485363336
  Episode 90: 731.3297449391976
  Episode 91: 725.216657597106
  Episode 92: 537.2064450965263
  Episode 93: 46.72412312636152
  Episode 94: 574.2110160030425
  Episode 95: 841.1749311969616
  Episode 96: 465.2597754173621
  Episode 97: 361.1299880556762
  Episode 98: 169.3287028844352
  Episode 99: 525.6025283648632
  Episode 100: 650.1468742447905

Mean Reward: 556.99
Std Reward: 219.67
