Algorithm: a2c
Environment: Hopper-v4
Seed: 456

Episode Rewards:
  Episode 1: 485.0279949903488
  Episode 2: 646.712207198143
  Episode 3: 528.4905211925507
  Episode 4: 477.2234801054001
  Episode 5: 476.4597941637039
  Episode 6: 475.3697499036789
  Episode 7: 537.1350916624069
  Episode 8: 579.0984061956406
  Episode 9: 526.6129220724106
  Episode 10: 556.3761559724808
  Episode 11: 507.3844223022461
  Episode 12: 527.1454882621765
  Episode 13: 504.1273720264435
  Episode 14: 475.12165582180023
  Episode 15: 530.5125210285187
  Episode 16: 528.1406456232071
  Episode 17: 534.2068428993225
  Episode 18: 532.8451093435287
  Episode 19: 495.5330011844635
  Episode 20: 585.7735266685486
  Episode 21: 494.75316965579987
  Episode 22: 568.8360022306442
  Episode 23: 548.7501395940781
  Episode 24: 526.4857261180878
  Episode 25: 516.1322586536407
  Episode 26: 492.1967998743057
  Episode 27: 505.79164385795593
  Episode 28: 560.795632481575
  Episode 29: 561.1522665023804
  Episode 30: 488.0281049013138
  Episode 31: 511.2189483642578
  Episode 32: 516.0755722522736
  Episode 33: 493.82681715488434
  Episode 34: 485.6765558719635
  Episode 35: 493.00171291828156
  Episode 36: 484.1898674964905
  Episode 37: 490.0007417201996
  Episode 38: 489.6929475069046
  Episode 39: 501.1676414012909
  Episode 40: 522.1235183477402
  Episode 41: 495.7850567102432
  Episode 42: 498.46038353443146
  Episode 43: 543.6083809137344
  Episode 44: 506.39281821250916
  Episode 45: 518.5191699266434
  Episode 46: 537.3464598655701
  Episode 47: 482.7737420797348
  Episode 48: 528.5677534341812
  Episode 49: 535.2345297336578
  Episode 50: 487.51699233055115
  Episode 51: 529.3928910493851
  Episode 52: 535.5166101455688
  Episode 53: 497.3459504842758
  Episode 54: 490.16997146606445
  Episode 55: 491.80453050136566
  Episode 56: 526.2873938083649
  Episode 57: 510.6268901824951
  Episode 58: 494.9157943725586
  Episode 59: 521.4006985425949
  Episode 60: 523.7770564556122
  Episode 61: 524.8985856771469
  Episode 62: 530.6470091342926
  Episode 63: 504.2776416540146
  Episode 64: 489.6184678077698
  Episode 65: 501.8404232263565
  Episode 66: 498.75563192367554
  Episode 67: 493.0467087030411
  Episode 68: 487.61928021907806
  Episode 69: 701.8957614898682
  Episode 70: 610.5062245130539
  Episode 71: 498.4455211162567
  Episode 72: 491.46449410915375
  Episode 73: 547.4606076478958
  Episode 74: 510.8366403579712
  Episode 75: 502.663671374321
  Episode 76: 510.44713723659515
  Episode 77: 506.08432030677795
  Episode 78: 472.5763272047043
  Episode 79: 568.6063947677612
  Episode 80: 488.06605410575867
  Episode 81: 485.32042014598846
  Episode 82: 487.0834308862686
  Episode 83: 476.1127778291702
  Episode 84: 498.1426953077316
  Episode 85: 534.4611018896103
  Episode 86: 530.2010618448257
  Episode 87: 519.4106297492981
  Episode 88: 471.8200694322586
  Episode 89: 517.2836943864822
  Episode 90: 498.33387529850006
  Episode 91: 493.3746325969696
  Episode 92: 649.9966529607773
  Episode 93: 464.9726663827896
  Episode 94: 541.0236744880676
  Episode 95: 479.2774384021759
  Episode 96: 529.4517116546631
  Episode 97: 560.840180516243
  Episode 98: 521.3221012353897
  Episode 99: 618.6919181346893
  Episode 100: 484.9159164428711

Mean Reward: 518.16
Std Reward: 39.51
