Algorithm: a2c
Environment: InvertedPendulum-v4
Seed: 456

Episode Rewards:
  Episode 1: 1000.0
  Episode 2: 1000.0
  Episode 3: 1000.0
  Episode 4: 1000.0
  Episode 5: 1000.0
  Episode 6: 1000.0
  Episode 7: 1000.0
  Episode 8: 1000.0
  Episode 9: 1000.0
  Episode 10: 1000.0
  Episode 11: 1000.0
  Episode 12: 1000.0
  Episode 13: 1000.0
  Episode 14: 1000.0
  Episode 15: 1000.0
  Episode 16: 1000.0
  Episode 17: 1000.0
  Episode 18: 1000.0
  Episode 19: 1000.0
  Episode 20: 1000.0
  Episode 21: 1000.0
  Episode 22: 1000.0
  Episode 23: 1000.0
  Episode 24: 1000.0
  Episode 25: 1000.0
  Episode 26: 1000.0
  Episode 27: 1000.0
  Episode 28: 1000.0
  Episode 29: 1000.0
  Episode 30: 1000.0
  Episode 31: 1000.0
  Episode 32: 1000.0
  Episode 33: 1000.0
  Episode 34: 1000.0
  Episode 35: 1000.0
  Episode 36: 1000.0
  Episode 37: 1000.0
  Episode 38: 1000.0
  Episode 39: 1000.0
  Episode 40: 1000.0
  Episode 41: 1000.0
  Episode 42: 1000.0
  Episode 43: 1000.0
  Episode 44: 1000.0
  Episode 45: 1000.0
  Episode 46: 1000.0
  Episode 47: 1000.0
  Episode 48: 1000.0
  Episode 49: 1000.0
  Episode 50: 1000.0
  Episode 51: 1000.0
  Episode 52: 1000.0
  Episode 53: 1000.0
  Episode 54: 1000.0
  Episode 55: 1000.0
  Episode 56: 1000.0
  Episode 57: 1000.0
  Episode 58: 1000.0
  Episode 59: 1000.0
  Episode 60: 1000.0
  Episode 61: 1000.0
  Episode 62: 1000.0
  Episode 63: 1000.0
  Episode 64: 1000.0
  Episode 65: 1000.0
  Episode 66: 1000.0
  Episode 67: 1000.0
  Episode 68: 1000.0
  Episode 69: 1000.0
  Episode 70: 1000.0
  Episode 71: 1000.0
  Episode 72: 1000.0
  Episode 73: 1000.0
  Episode 74: 1000.0
  Episode 75: 1000.0
  Episode 76: 1000.0
  Episode 77: 1000.0
  Episode 78: 1000.0
  Episode 79: 1000.0
  Episode 80: 1000.0
  Episode 81: 1000.0
  Episode 82: 1000.0
  Episode 83: 1000.0
  Episode 84: 1000.0
  Episode 85: 1000.0
  Episode 86: 1000.0
  Episode 87: 1000.0
  Episode 88: 1000.0
  Episode 89: 1000.0
  Episode 90: 1000.0
  Episode 91: 1000.0
  Episode 92: 1000.0
  Episode 93: 1000.0
  Episode 94: 1000.0
  Episode 95: 1000.0
  Episode 96: 1000.0
  Episode 97: 1000.0
  Episode 98: 1000.0
  Episode 99: 1000.0
  Episode 100: 1000.0

Mean Reward: 1000.00
Std Reward: 0.00
